name,artist,meter,chorus_cp,verse_cp,intro_cp,outro_cp,bridge_cp,release year,energy,valence,tempo,danceability
World In My Eyes,Depeche Mode,4/4,"['C:min', 'Cb:maj', 'Ab:min', 'Bb:maj', 'C:min', 'Cb:maj', 'Ab:min', 'Bb:maj']","['Eb:min7', 'Eb:min7', 'Eb:min7', 'Eb:min7', 'Eb:min7', 'Eb:min7', 'Eb:min7', 'Eb:min7', 'Eb:min7', 'Eb:min7', 'Eb:min7', 'Eb:min7']","['Eb:min7', 'Eb:min7', 'Eb:min7', 'Eb:min7']","['Eb:min7', 'Eb:min7', 'Ab:maj', 'Ab:min', 'Eb:min7', 'Eb:min7', 'Ab:maj', 'Ab:min']","['Eb:min7', 'Eb:min7', 'Eb:min7', 'Eb:min7', 'Eb:min7', 'Eb:min7', 'Eb:min7', 'Eb:min7', 'Eb:min7', 'Eb:min7', 'Ab:maj', 'Ab:min']",1990,0.881,0.952,122.243,0.66
Judy,Elvis Presley,4/4,"['G:maj', 'G:maj', 'G:maj', 'G:maj', 'G:maj', 'G:maj', 'G:maj', 'G:maj', 'G:maj']","['G:maj', 'G:maj', 'G:maj', 'G:maj']","['D:7', 'D:7']","['D:7', 'D:7', 'D:7', 'D:7']",[],1961,0.484,0.961,141.326,0.625
The Long Run,Eagles,4/4,"['C:maj', 'F:maj', 'C:maj', 'G:maj', 'C:maj', 'F:maj', 'C:maj', 'G:maj']","['C:maj', 'C:maj', 'F:maj', 'F:maj', 'C:maj', 'C:maj', 'F:maj', 'F:maj']","['N', 'C:maj', 'C:maj', 'F:maj', 'F:maj']","['C:maj', 'C:maj', 'F:maj', 'F:maj', 'C:maj', 'C:maj', 'F:maj', 'F:maj']",[],1979,0.521,0.969,99.46,0.803
Lucky,Greg Kihn,4/4,"['D:min', 'E:min/b7', 'D:min7', 'D:min7', 'D:min', 'E:min/b7', 'D:min7', 'D:min7', 'A:min', 'G:min7/9', 'C:7/13', 'F:maj7/3', 'G:min7/9', 'C:7/13', 'D:min', 'E:min/b7', 'D:min7', 'D:min7', 'D:min', 'E:min/b7', 'D:min7', 'D:min7', 'A:min', 'G:min7/9', 'C:7/13', 'F:maj7/3', 'G:min7/9', 'C:7/13', 'D:min', 'E:min/b7', 'D:min7/b3']","['F:maj7', 'G:min7/9', 'C:7/13', 'F:maj7', 'G:min7/9', 'C:7/13', 'A:min', 'G:min7/9', 'C:7/13', 'F:maj7/3', 'G:min7/9', 'C:7/13', 'A:min', 'G:min7/9', 'C:7/13', 'F:maj7/3', 'G:min7/9', 'C:7/13']","['A:min', 'A:min', 'A:min', 'A:min']",[],[],2010,0.47,0.899,115.494,0.879
Wish Someone Would Care,Irma Thomas,4/4,"['D:maj', 'D:maj', 'D:maj', 'D:maj', 'B:min', 'B:min', 'B:min', 'B:min', 'D:maj', 'D:maj', 'D:maj', 'D:maj', 'B:min', 'B:min', 'A:maj', 'A:maj', 'D:maj', 'D:maj', 'D:maj', 'D:maj', 'B:min', 'B:min', 'B:min', 'B:min']","['D:maj', 'D:maj', 'D:maj', 'D:maj', 'B:min', 'B:min', 'B:min', 'B:min', 'G:maj', 'G:maj', 'G:maj', 'G:maj', 'A:7', 'A:7', 'A:7', 'A:7', 'D:maj', 'D:maj', 'D:maj', 'D:maj', 'B:min', 'B:min', 'B:min', 'B:min', 'D:maj', 'D:maj', 'D:maj', 'D:maj', 'B:min', 'B:min', 'B:min', 'B:min']","['B:min', 'B:min', 'B:min', 'B:min', 'D:maj', 'D:maj', 'D:maj', 'D:maj', 'B:min', 'B:min', 'B:min', 'B:min', 'D:maj', 'D:maj', 'D:maj', 'D:maj']","['D:maj', 'D:maj', 'D:maj', 'D:maj', 'B:min', 'B:min', 'B:min', 'B:min']",[],1990,0.52,0.561,164.338,0.379
Walk Right In,Dr. Hook,4/4,"['D:maj', 'D:maj', 'B:7', 'E:7', 'A:7', 'D:maj']","['D:maj', 'D:maj', 'B:7', 'E:7', 'A:7', 'D:maj', 'D:maj', 'D:maj', 'B:7', 'E:7', 'A:7', 'D:maj', 'D:maj', 'D:maj', 'B:7', 'E:7', 'A:7', 'D:maj']","['D:7', 'D:7']","['D:maj', 'D:maj', 'B:7', 'E:7', 'A:7', 'D:maj']",[],1977,0.942,0.877,114.737,0.806
Maniac,Michael Sembello,4/4,"['Ab:7', 'Ab:7', 'Bb:aug', 'Bb:aug', 'Cb:maj7(#11)', 'Db:11', 'Eb:min7', 'Eb:min11', 'Ab:7', 'Ab:7', 'Bb:aug', 'Bb:aug', 'Cb:maj7(#11)', 'Db:11', 'Eb:min7', 'Eb:min11', 'Eb:min(b13)', 'Eb:min6', 'Eb:min7', 'Eb:maj9', 'Ab:7', 'Ab:7', 'Bb:aug', 'Bb:aug']","['Eb:min(b13)', 'Eb:min6', 'Eb:min7', 'Eb:maj9', 'Eb:min(b13)', 'Eb:min6', 'Eb:min7', 'Eb:maj9']","['N', 'N', 'N', 'N', 'Cb:maj7(#11)', 'Db:11', 'Eb:min7', 'Eb:min11']","['Cb:maj7(#11)', 'Db:11', 'Eb:min7', 'Eb:min11', 'Cb:maj7(#11)', 'Db:11', 'Eb:min7', 'Eb:min11']","['Gb:maj(11)', 'F:1(b5,11)', 'Bb:5(b7)/5', 'Eb:min7']",1983,0.533,0.835,158.86,0.617
I Drove All Night,Cyndi Lauper,4/4,"['Db:maj', 'Db:maj', 'Eb:maj', 'Eb:maj', 'C:min', 'Db:maj', 'Ab:maj', 'F:min', 'Eb:maj', 'Eb:maj', 'Db:maj', 'Db:maj', 'Eb:maj', 'Eb:maj', 'C:min', 'Db:maj', 'Ab:maj', 'F:min', 'Eb:maj', 'Eb:maj', 'Db:maj', 'Db:maj', 'Eb:maj', 'Eb:maj', 'C:min', 'Db:maj', 'Ab:maj', 'F:min', 'Eb:maj', 'Eb:maj', 'Db:maj', 'Db:maj', 'Eb:maj', 'Eb:maj']","['Eb:maj', 'Eb:maj', 'Db:maj', 'Db:maj', 'Eb:maj', 'Eb:maj', 'Db:maj', 'Db:maj']","['Eb:maj', 'Eb:maj', 'Db:maj', 'Db:maj']","['F:min', 'Db:maj', 'Ab:maj', 'C:min', 'Db:maj', 'Eb:maj']","['F:min', 'Db:maj', 'Ab:maj', 'C:min', 'Db:maj', 'Eb:maj', 'Ab:maj', 'F:min', 'Eb:maj', 'Eb:maj', 'F:min', 'Db:maj', 'Ab:maj', 'C:min', 'Db:maj', 'Eb:maj']",1989,0.706,0.766,131.067,0.703
I'll Tumble 4 Ya,Culture Club,4/4,"['D:min', 'D:min', 'D:min', 'G:maj', 'C:maj', 'C:maj', 'C:maj', 'C:maj', 'D:min', 'D:min', 'D:min', 'G:maj', 'C:maj', 'C:maj', 'C:maj', 'C:maj', 'D:min', 'D:min', 'D:min', 'G:maj', 'N', 'N', 'N', 'N', 'D:min', 'D:min', 'D:min', 'G:maj', 'C:maj', 'C:maj', 'C:maj', 'C:maj']","['E:min', 'D:min', 'D:min', 'C:maj/3', 'C:maj', 'E:min', 'D:min', 'D:min', 'C:maj/3', 'C:maj', 'E:min', 'D:min', 'D:min', 'C:maj/3', 'C:maj', 'E:min', 'D:min', 'D:min', 'C:maj/3', 'C:maj', 'E:min', 'D:min', 'D:min', 'C:maj/3', 'C:maj', 'E:min', 'D:min', 'D:min', 'C:maj/3', 'C:maj']","['*', '*', '*', '*']","['C:maj', 'Bb:maj', 'C:maj', 'C:maj', 'Eb:maj', 'Bb:maj/3', 'C:maj', 'Bb:maj', 'C:maj']","['A:min', 'A:min', 'A:min', 'A:min', 'A:min', 'A:min']",,,,,
I Want You,Marvin Gaye,4/4,"['C#:min9', 'C#:min9', 'F#:min7', 'G#:min7', 'C#:min9', 'C#:min9', 'F#:min7', 'G#:min7', 'C#:min9', 'C#:min9', 'F#:min7', 'G#:min7', 'C#:min9', 'C#:min9', 'F#:min7', 'G#:min7', 'C#:min9', 'C#:min9', 'F#:min7', 'G#:min7']","['C#:min9', 'C#:min9', 'F#:min7', 'F#:min7', 'C#:min9', 'C#:min9', 'F#:min7', 'F#:min7']","['C#:min9', 'C#:min9', 'C#:min9', 'C#:min9']","['A:maj7', 'G#:min7', 'C#:min7', 'F#:min7', 'E:maj/5']",[],1976,0.793,0.737,100.551,0.515
Foggy Mountain Breakdown,Flatt & Scruggs,4/4,[],"['Ab:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj']",[],[],[],1965,0.479,0.919,155.252,0.407
Eleanor Rigby,Ray Charles,4/4,"['E:min7', 'E:min6', 'E:min(b13)', 'E:min', 'E:min7', 'E:min6', 'E:min(b13)', 'E:min', 'E:min7', 'E:min6', 'E:min(b13)', 'E:min', 'E:min7', 'E:min6', 'E:min(b13)', 'E:min']","['E:min', 'E:min', 'C:7', 'C:7', 'E:min', 'E:min', 'E:min', 'C:7', 'C:7', 'E:min', 'E:min', 'E:min', 'C:7', 'C:7', 'E:min']","['E:min', 'E:min']",[],"['C:7', 'C:7', 'E:min', 'E:min', 'C:7', 'C:7', 'E:min', 'E:min', 'C:7', 'C:7', 'E:min', 'E:min']",2021,0.428,0.505,116.492,0.388
Almost Grown,Chuck Berry,4/4,"['G:7', 'G:7', 'G:7', 'G:7', 'G:7', 'G:7', 'G:7', 'G:7', 'G:7', 'G:7', 'G:7', 'G:7']","['G:7', 'G:7', 'G:7', 'G:7', 'G:7', 'G:7', 'G:7', 'G:7', 'G:7', 'G:7', 'G:7', 'G:7', 'G:7', 'G:7', 'G:7', 'G:7']","['D:7', 'N', 'N', 'N']",[],[],1959,0.645,0.756,151.403,0.528
Disco Inferno,The Trammps,4/4,"['F:maj', 'Bb:maj', 'G:min', 'C:maj', 'C:maj', 'F:maj', 'Bb:maj', 'G:min', 'C:maj', 'C:maj', 'F:maj', 'Bb:maj', 'G:min', 'C:maj', 'C:maj', 'F:maj', 'Bb:maj', 'G:min', 'C:maj', 'C:maj', 'F:maj', 'Bb:maj', 'G:min', 'C:maj', 'C:maj']","['C:min7', 'C:min7', 'C:min7', 'C:min7']","['N', 'N']",[],"['Bb:maj7', 'Bb:maj7', 'C:maj', 'C:maj']",2009,0.85,0.923,128.007,0.802
Do You Want To Know A Secret,The Beatles,4/4,"['C#:min', 'A:maj', 'B:maj', 'C#:min', 'A:maj', 'B:maj', 'C#:min', 'A:maj', 'B:maj']","['E:maj', 'E:maj', 'G#:min', 'G:min', 'F#:min', 'B:7', 'E:maj', 'E:maj', 'G#:min', 'G:min', 'F#:min', 'B:7', 'E:maj', 'E:maj', 'G#:min', 'G:min', 'F#:min', 'B:7', 'E:maj', 'E:maj', 'G#:min', 'G:min', 'F#:min', 'B:7', 'E:maj', 'E:maj', 'G#:min', 'G:min', 'F#:min', 'B:7', 'E:maj', 'E:maj', 'G#:min', 'G:min', 'F#:min', 'B:7']","['E:min', 'F#:hdim7', 'E:min', 'E:min', 'E:min', 'A:maj', 'B:maj', 'B:13']","['C#:min', 'A:maj', 'B:maj']","['A:maj', 'F#:min', 'C#:min', 'B:min', 'A:maj', 'F#:min', 'C#:min', 'B:min']",1963,0.349,0.609,124.451,0.673
Tumbling Dice,The Rolling Stones,4/4,"['B:maj', 'B:maj', 'B:maj', 'B:maj']","['B:maj', 'B:maj', 'B:maj', 'B:maj', 'B:maj', 'B:maj/3', 'B:maj/11', 'B:maj', 'B:maj', 'B:maj', 'B:maj', 'B:maj', 'B:maj', 'B:maj', 'B:maj', 'B:maj', 'B:maj/3', 'B:maj/11', 'B:maj', 'B:maj', 'B:maj', 'B:maj', 'B:maj', 'B:maj', 'B:maj', 'B:maj', 'B:maj', 'B:maj', 'B:maj', 'B:maj']",['E:maj'],"['E:maj', 'B:maj', 'F#:maj', 'E:maj', 'B:maj', 'F#:maj', 'E:maj', 'B:maj', 'F#:maj', 'E:maj', 'B:maj', 'F#:maj']",[],1972,0.91,0.77,111.013,0.615
Walk Right In,The Moments,4/4,[],"['A:maj', 'A:maj', 'F#:7', 'B:7', 'E:7', 'A:maj', 'A:maj', 'A:maj', 'F#:7', 'B:7', 'E:7', 'A:maj', 'A:maj', 'A:maj', 'F#:7', 'B:7', 'E:7', 'A:maj']","['A:maj', 'A:maj', 'D:7', 'D:7']","['B:7', 'E:7', 'A:maj']",[],1978,0.737,0.975,139.346,0.766
Ask Me,Elvis Presley,12/8,"['B:min', 'F#:min', 'D#:dim', 'E:min', 'D:maj', 'D:maj/7', 'C:maj', 'B:7', 'E:min', 'E:minmaj7/5', 'E:min7', 'A:7', 'B:min', 'F#:min', 'D#:dim', 'E:min', 'D:maj', 'D:maj/7', 'C:maj', 'B:7', 'E:min', 'E:minmaj7/5', 'E:min7', 'A:7']","['D:maj', 'D:maj/7', 'C:maj', 'B:7', 'E:min', 'E:minmaj7/5', 'E:min7', 'A:7']",['A:maj'],[],"['D:maj', 'D:maj/7', 'C:maj', 'B:7', 'E:min', 'E:minmaj7/5', 'E:min7', 'A:7']",1958,0.181,0.281,79.967,0.427
Never Can Say Goodbye,Gloria Gaynor,4/4,"['C:maj', 'C:maj', 'C:min7', 'C:min7', 'C:maj', 'C:maj', 'C:min7', 'C:min7', 'C:maj', 'C:maj', 'C:min7', 'C:min7', 'C:maj', 'C:maj', 'C:min7', 'C:min7']","['F:maj7', 'F:maj7', 'G:sus4(b7)', 'G:sus4(b7)', 'F:maj7', 'F:maj7', 'G:sus4(b7)', 'G:sus4(b7)']","['F:maj7', 'F:maj7', 'D:min7', 'G:sus4(b7)']","['D:maj/b7', 'Db:maj7/7', 'C:maj', 'C:maj']","['F:maj7', 'F:maj7', 'D:min7', 'G:sus4(b7)']",1975,0.882,0.895,125.681,0.611
Oh Me Oh My (I'm A Fool For You Baby),Aretha Franklin,4/4,"['Eb:maj', 'F:7', 'Bb:maj', 'D:min7', 'G:min7', 'G:min7', 'Eb:maj', 'F:7', 'Bb:maj', 'D:min7', 'G:min7', 'G:min7', 'Eb:maj', 'F:7', 'Bb:maj', 'D:min7', 'G:min7', 'G:min7', 'Eb:maj', 'F:7', 'Bb:maj', 'D:min7', 'G:min7', 'G:min7', 'Eb:maj', 'F:7', 'Bb:maj', 'D:min7', 'G:min7', 'G:min7', 'Eb:maj', 'F:7', 'Bb:maj', 'D:min7', 'G:min7', 'G:min7']","['F:sus4(b7,9)', 'F:7', 'Bb:maj9', 'Bb:maj9', 'C:min7', 'Bb:maj(9)/3', 'Eb:maj6(7)', 'F:7', 'Bb:maj7', 'Bb:maj7', 'C:min7(11)', 'Bb:7/3', 'F:sus4(b7,9)', 'F:7', 'Bb:maj9', 'Bb:maj9', 'C:min7', 'Bb:maj(9)/3', 'Eb:maj7', 'F:7', 'Bb:maj7', 'Bb:maj7', 'C:min7', 'Bb:7/3', 'F:sus4(b7,9)', 'F:7', 'Bb:maj7', 'Bb:maj7', 'C:min7', 'Bb:maj/3', 'Eb:maj7', 'F:7', 'Bb:maj7', 'Bb:maj7', 'C:min7', 'Bb:7/3']","['F:sus4(b7,9)', 'Bb:maj7', 'F:sus4(b7,9)', 'Bb:maj7']",[],[],1972,0.231,0.213,118.373,0.425
Lambada,Kaoma,4/4,"['D:min', 'D:min', 'Bb:maj', 'C:maj', 'F:maj', 'F:maj']","['D:min', 'D:min', 'Bb:maj', 'C:maj', 'F:maj', 'F:maj', 'D:min', 'D:min', 'Bb:maj', 'C:maj', 'F:maj', 'F:maj', 'D:min', 'D:min', 'Bb:maj', 'C:maj', 'F:maj', 'F:maj']","['D:min', 'D:min', 'D:min', 'D:min']","['D:min', 'D:min', 'F:maj', 'F:maj', 'D:min', 'D:min', 'F:maj', 'F:maj']",[],1989,0.8,0.967,118.924,0.756
Miss You,The Rolling Stones,4/4,"['A:min7', 'A:min7', 'D:min7', 'D:min7', 'A:min7', 'A:min7', 'D:min7', 'D:min7', 'A:min7', 'A:min7', 'D:min7', 'D:min7', 'A:min7', 'A:min7', 'D:min7', 'D:min7', 'A:min7', 'A:min7', 'D:min7', 'D:min7', 'A:min7', 'A:min7', 'D:min7', 'D:min7']","['A:min7', 'A:min7', 'D:min7', 'D:min7', 'A:min7', 'A:min7', 'D:min7', 'D:min7', 'A:min7', 'A:min7', 'D:min7', 'D:min7', 'A:min7', 'A:min7', 'D:min7', 'D:min7']","['A:min7', 'A:min7', 'D:min7', 'D:min7']","['A:min7', 'A:min7', 'D:min7', 'D:min7']","['F:maj', 'E:min7', 'D:min7', 'D:min7', 'A:min7', 'A:min7', 'D:min7', 'D:min7']",1978,0.71,0.845,109.689,0.795
Dum Dum,Brenda Lee,4/4,"['Db:7', 'Gb:7', 'Db:7', 'Db:7', 'Gb:7', 'Db:7', 'Db:7', 'Gb:7', 'Db:7', 'Ab:7', 'N', 'Db:7', 'Gb:7', 'Db:7', 'Db:7', 'Gb:7', 'Db:7', 'Db:7', 'Gb:7', 'Db:7', 'Db:7', 'Gb:7', 'Db:7', 'Db:7', 'Gb:7', 'Db:7', 'Db:7', 'Gb:7', 'Db:7', 'Db:7', 'Gb:7', 'Db:7', 'Db:7', 'Gb:7', 'Db:7', 'Db:7', 'Gb:7', 'Db:7', 'Ab:7', 'N', 'Db:7', 'Gb:7', 'Db:7', 'Db:7', 'Gb:7', 'Db:7', 'Db:7', 'Gb:7', 'Db:7']","['Db:7', 'Gb:7', 'Db:7', 'Db:7', 'Gb:7', 'Db:7', 'Db:7', 'Gb:maj', 'Ab:7', 'N', 'Db:7', 'Gb:7', 'Db:7', 'Db:7', 'Gb:7', 'Db:7', 'Db:7', 'Gb:maj', 'Ab:7', 'N', 'Db:7', 'Gb:7', 'Db:7', 'Db:7', 'Gb:7', 'Db:7', 'Db:7', 'Gb:maj', 'Ab:7', 'N']","['Db:7', 'Gb:7', 'Db:7', 'Ab:7']","['Db:7', 'Gb:7', 'Db:7', 'Db:7', 'Gb:7', 'Db:7', 'Db:7', 'Gb:7', 'Db:7', 'Ab:7', 'N']",[],1961,0.618,0.682,126.533,0.691
The Battle Of New Orleans,Johnny Horton,4/4,"['A:maj', 'A:maj', 'A:maj', 'E:maj', 'A:maj', 'A:maj', 'A:maj', 'A:maj', 'E:maj', 'A:maj', 'A:maj', 'A:maj', 'A:maj', 'E:maj', 'A:maj', 'A:maj', 'A:maj', 'A:maj', 'E:maj', 'A:maj']","['A:maj', 'D:maj', 'E:7', 'A:maj', 'A:maj', 'D:maj', 'E:7', 'A:maj', 'A:maj', 'D:maj', 'E:7', 'A:maj', 'A:maj', 'D:maj', 'E:7', 'A:maj']","['*', '*']","['A:maj', 'A:maj', 'A:maj', 'A:maj', 'A:maj', 'A:maj', 'A:maj', 'A:maj']","['A:maj', 'A:maj', 'A:maj', 'E:maj', 'A:maj', 'A:maj', 'A:maj', 'A:maj', 'E:maj', 'A:maj']",1989,0.743,0.92,177.362,0.704
There Goes My Everything,Elvis Presley,3/4,"['Ab:maj', 'Eb:7', 'Ab:maj', 'Ab:7', 'Ab:maj', 'Eb:7', 'Ab:maj', 'Ab:7']","['Ab:maj', 'Db:maj', 'Ab:maj', 'Ab:maj', 'Ab:maj', 'Db:maj', 'Ab:maj', 'Ab:maj']","['Eb:maj', 'Db:maj/3', 'Eb:7/3', 'Ab:maj', 'Ab:7', 'Bb:min', 'Ab:7/3', 'Db:maj', 'Db:maj', 'C:min', 'Bb:min']","['Ab:maj', 'Ab:7', 'Bb:min', 'Ab:7/3', 'Db:maj', 'Db:maj', 'C:min', 'Bb:min']",[],1971,0.303,0.538,83.168,0.366
Kind Of A Drag,The Buckinghams,4/4,"['C:maj', 'C:aug', 'C:maj6', 'C:7', 'C:maj', 'C:aug', 'C:maj6', 'C:7', 'A:min', 'D:maj', 'A:min', 'D:maj', 'G:maj', 'G:maj', 'C:maj', 'C:aug', 'C:maj6', 'C:7']","['A:min', 'D:maj', 'A:min', 'D:maj', 'G:maj', 'G:maj', 'A:min', 'D:maj', 'A:min', 'D:maj', 'G:maj', 'G:maj']","['G:maj', 'G:aug', 'G:maj6', 'D:7']","['C:maj', 'Bb:maj', 'C:maj', 'Bb:maj']",[],2015,0.783,0.533,138.836,0.271
Who Will You Run To,Heart,4/4,"['E:maj', 'D:maj', 'E:maj', 'D:maj', 'A:maj', 'E:maj/3', 'D:maj', 'G:maj', 'E:maj', 'D:maj', 'E:maj', 'D:maj', 'A:maj', 'E:maj/3', 'D:maj', 'G:maj', 'A:maj', 'A:maj', 'A:maj', 'A:maj', 'E:maj', 'D:maj', 'E:maj', 'D:maj', 'D:maj', 'A:maj', 'E:maj/3', 'D:maj', 'G:maj']","['A:maj', 'A:maj', 'D:maj', 'D:maj', 'A:maj', 'A:maj', 'D:maj', 'D:maj']","['A:maj', 'A:maj', 'A:maj', 'A:maj']","['A:maj', 'E:maj/3', 'G:maj', 'G:maj', 'A:maj', 'E:maj/3', 'G:maj', 'G:maj']",[],1987,0.73,0.684,116.313,0.601
Breezin',George Benson,4/4,"['D:maj(9)', 'D:maj/5', 'A:maj', 'D:maj(9)', 'D:maj/5', 'A:maj']","['D:maj(9)', 'D:maj/5', 'A:maj', 'D:maj(9)', 'D:maj/5', 'A:maj', 'D:maj(9)', 'D:maj/5', 'A:maj', 'D:maj(9)', 'D:maj/5', 'A:maj', 'D:maj(9)', 'D:maj/5', 'A:maj', 'D:maj(9)', 'D:maj/5', 'A:maj']","['D:maj9(13)', 'F:maj9', 'A:maj9', 'F:maj9']","['D:maj(9)', 'D:maj/5', 'A:maj', 'D:maj(9)', 'D:maj/5', 'A:maj']","['D:maj(9)', 'D:maj/5', 'A:maj', 'D:maj(9)', 'D:maj/5', 'A:maj', 'D:maj(9)', 'D:maj/5', 'A:maj', 'D:maj(9)', 'D:maj/5', 'A:maj']",1976,0.752,0.964,81.081,0.682
Still,Commodores,4/4,"['Gb:maj7', 'Eb:min7', 'Ab:maj', 'Db:maj7', 'Db:7', 'Db:maj/7', 'Eb:min/5', 'Ab:maj', 'Gb:maj7', 'Eb:min7', 'Ab:maj', 'Db:maj7', 'Cb:maj/9', 'Db:7', 'Gb:maj/3', 'Ab:maj']","['Db:sus4', 'Db:maj', 'Db:maj', 'Db:maj', 'Db:sus4', 'Db:maj', 'Gb:maj7', 'Gb:maj6', 'Ab:sus4', 'Ab:maj', 'Ab:sus4', 'Ab:maj']","['Db:maj', 'Eb:min/b7', 'Db:maj', 'Eb:min/b7']",[],[],1985,0.0629,0.203,124.422,0.355
Getaway,Earth Wind and Fire,4/4,"['F:7(#9)', 'F:7(#9)', 'F:7(#9)', 'Bb:min', 'C:min', 'F:7(#9)', 'F:7(#9)', 'F:7(#9)', 'Bb:min', 'C:min', 'F:7(#9)', 'F:7(#9)', 'F:7(#9)', 'Bb:min', 'C:min', 'F:7(#9)', 'F:7(#9)', 'F:7(#9)', 'Bb:min', 'C:min', 'F:7(#9)', 'F:7(#9)', 'F:7(#9)', 'Bb:min', 'C:min', 'F:7(#9)', 'F:7(#9)', 'F:7(#9)', 'Bb:min', 'C:min']","['F:7(#9)', 'F:7(#9)', 'F:7(#9)', 'F:7(#9)', 'F:7(#9)', 'F:7(#9)', 'F:7(#9)', 'F:7(#9)', 'F:7(#9)', 'F:7(#9)', 'F:7(#9)', 'F:7(#9)']","['F:min', 'F:min', 'F:min', 'F:min']","['F:7(#9)', 'F:7(#9)', 'F:7(#9)', 'Bb:min', 'C:min', 'F:7(#9)', 'F:7(#9)', 'F:7(#9)', 'Bb:min', 'C:min', 'F:7(#9)', 'F:7(#9)', 'F:7(#9)', 'Bb:min', 'C:min', 'F:7(#9)', 'F:7(#9)', 'F:7(#9)', 'Bb:min', 'C:min']","['Bb:min7', 'Ab:maj', 'Db:maj9', 'C:7(#9)', 'Bb:min7', 'Ab:maj', 'Db:maj9', 'C:7(#9)', 'Bb:min7', 'Ab:maj', 'Db:maj9', 'C:7(#9)']",1976,0.879,0.826,112.595,0.724
Roll On Down The Highway,Bachman-Turner Overdrive,4/4,"['D:maj', 'G:maj', 'D:maj', 'G:maj', 'D:maj', 'G:maj', 'D:maj', 'Bb:maj', 'C:maj', 'D:maj', 'G:maj', 'D:maj', 'G:maj', 'D:maj', 'G:maj', 'D:maj', 'Bb:maj', 'C:maj', 'D:maj', 'D:maj', 'C:maj', 'C:maj', 'Bb:maj', 'Bb:maj', 'A:sus4', 'A:maj', 'D:maj', 'D:maj', 'C:maj', 'C:maj', 'Bb:maj', 'Bb:maj', 'A:sus4', 'A:maj', 'D:maj', 'D:maj', 'C:maj', 'C:maj', 'Bb:maj', 'Bb:maj', 'A:sus4', 'A:maj', 'D:maj', 'G:maj', 'D:maj', 'G:maj', 'D:maj', 'G:maj', 'D:maj', 'Bb:maj', 'C:maj', 'D:maj', 'G:maj', 'D:maj', 'G:maj', 'D:maj', 'G:maj', 'D:maj', 'Bb:maj', 'C:maj']","['D:maj', 'D:maj', 'C:maj', 'C:maj', 'Bb:maj', 'Bb:maj', 'A:sus4', 'A:maj', 'D:maj', 'D:maj', 'C:maj', 'C:maj', 'Bb:maj', 'Bb:maj', 'A:sus4', 'A:maj']","['D:maj', 'Bb:maj', 'C:maj']","['D:maj', 'G:maj', 'D:maj', 'G:maj', 'D:maj', 'G:maj', 'D:maj', 'Bb:maj', 'C:maj']","['D:maj', 'D:maj', 'D:maj', 'D:maj', 'D:maj', 'Bb:maj', 'C:maj', 'N', 'N', 'N', 'N']",1974,0.823,0.881,138.981,0.475
Standing In The Shadows Of Love,Four Tops,4/4,"['Bb:min', 'Bb:sus4(b7)/b7', 'Gb:maj7', 'F:sus4(b7)', 'F:7', 'Eb:sus4(b7)', 'Eb:min', 'Eb:min', 'Bb:maj', 'B:dim', 'Bb:min', 'Bb:sus4(b7)/b7', 'Gb:maj7', 'F:sus4(b7)', 'F:7', 'Eb:sus4(b7)', 'Eb:min', 'Eb:min', 'Bb:maj', 'B:dim', 'Eb:sus4(b7)', 'Eb:min', 'Eb:min', 'Bb:maj', 'B:dim', 'Bb:min', 'Bb:sus4(b7)/b7', 'Gb:maj7', 'F:sus4(b7)', 'F:7']","['Gb:maj', 'Gb:maj', 'Gb:maj', 'Ab:min7', 'Db:maj', 'Gb:maj', 'Gb:maj', 'Gb:maj', 'Ab:min7', 'Db:maj', 'Gb:maj', 'Gb:maj', 'Gb:maj', 'Ab:min7', 'Db:maj', 'Gb:maj', 'Gb:maj', 'Gb:maj', 'Ab:min7', 'Db:maj', 'Gb:maj', 'Gb:maj', 'Gb:maj', 'Ab:min7', 'Db:maj', 'Gb:maj', 'Gb:maj', 'Gb:maj', 'Ab:min7', 'Db:maj']",[],"['Bb:min', 'Bb:sus4(b7)/b7', 'Gb:maj7', 'F:sus4(b7)', 'F:7']",[],1967,0.855,0.878,114.135,0.741
